,name,price,items_sold,rating,seller,city
0,KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630.0,70,5.0,Toko kue Sumber Mas,Jakarta Timur
1,Seblak Rafael/Seblak Coet Instan Halal,26600.0,500,4.9,Foodstocks,Jakarta Selatan
2,Seblak Sultan instant,14000.0,250,4.9,Sultan Meat Shop,Medan
3,Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,16000.0,70,5.0,TAM SNACK,Depok
4,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,21500.0,250,4.9,dariimyu,Kab. Indramayu
5,Kerupuk Mentah 250gr Seblak Mentah,5900.0,1000,5.0,Pedas Gilaa,Surabaya
6,Kylafood Seblak Rempah Authentik,10965.0,3000,4.9,kylafood,Bandung
7,"seblak krupuk 5000 ,pedas dan gurih",5000.0,1000,4.7,anugrah seblak,Kab. Bandung
8,Kerupuk Seblak Beton As Kering Cikruh 500 Gr Bumbu Organik Pedas Gurih,25500.0,50,4.8,kerudung bunga,Cimahi
9,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,6000.0,1000,4.9,GK_Snack,Kab. Bandung
10,Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,85000.0,60,4.7,Lidigeli,Kab. Garut
11,Kylafood Seblak Cup,13500.0,250,4.9,Kylafood Jakarta,Jakarta Selatan
12,pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32999.0,100,4.9,CUANKI CULAMETAN,Kab. Garut
13,Seblak Instan Premium Bangsatria,21000.0,10,5.0,Foodstocks,Jakarta Selatan
14,siomay mini kering 1kg toping seblak baso aci,24999.0,250,4.9,CUANKI CULAMETAN,Kab. Garut
15,KERUPUK JABLAY BANTET SEBLAK PELANGI,15999.0,500,4.9,Toko kue Sumber Mas,Jakarta Timur
16,seblak mercon pedas galak,3500.0,3000,4.5,BUGAR STORE.,Kab. Garut
17,seblak instant sajodo snak,18950.0,1000,4.9,hikmah berkah jaya,Jakarta Barat
18,Kylafood Paket Seblak Cup isi 4 pcs,50040.0,100,4.8,kylafood,Bandung
19,SEBLAK INSTAN MOMMY,13900.0,1000,4.8,Rav Jaya Display,Kab. Tangerang
20,Kylafood Paket Seblak Cup isi 4 pcs,50040.0,100,4.8,kylafood,Bandung
21,Seblak Rafael Seblak Beton,15000.0,0,0.0,toko bemo,Jakarta Timur
22,Kylafood Seblak Mie Baso Sapi Play,23375.0,250,4.9,kylafood,Bandung
23,Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,12500.0,100,4.9,Pasar Keripik Bandung,Bandung
24,Kylafood Seblak Mie Baso,24750.0,4000,4.9,kylafood,Bandung
25,Kylafood Seblak Original 158 gram,28500.0,1000,4.9,Tokopedia NOW!,Jakarta Selatan
26,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK JENGKOL SISIR 1KG,21750.0,28,5.0,SuperSnacksShop,Kab. Bandung
27,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,18000.0,500,4.8,Lidigeli,Kab. Garut
28,^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,28000.0,17,5.0,siskaarinang2,Bandung
29,Kerupuk Seblak Bantet Super Pedas Daun Jeruk,8950.0,22,5.0,Althafun,Kab. Mojokerto
30,siomay kering 1kg isi 150 pcs toping seblak baso aci,34999.0,90,4.9,CUANKI CULAMETAN,Kab. Garut
31,Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Besar,28500.0,30,5.0,Pasar Keripik Bandung,Bandung
32,cuanki tahu bulat sohu besar isi 25 toping baso aci dan seblak,8999.0,6,5.0,Culametan Food,Kab. Garut
33,cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,38111.0,100,4.9,CUANKI CULAMETAN,Kab. Garut
34,Kerupuk Seblak Viral Mawar Warna Mentah 250 gr,12000.0,0,0.0,JoyLeo,Bogor
35,Kerupuk seblak bantet pedas 75 gr enak renyah,4500.0,40,4.5,RIKI STORE 97,Kab. Bogor
36,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH KEONG WARNA 200 GR,5750.0,100,4.9,SuperSnacksShop,Kab. Bandung
37,"PAKET BUNDLING 4 ( 1 SEBLAK INSTANT, 1 KEJU AROMA SAJODO)",40000.0,11,5.0,Sajodo Snack & Food,Tasikmalaya
38,SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR,10799.0,60,4.7,Simshop_,Cimahi
39,Seblak ceker 2 putra kemasan gopean (500),8800.0,250,5.0,BAGEAJAYA FOOD,Kab.Ciamis
40,Telur Gabus Keju Homemade 190gr Gurih dan Renyah Kaya Halal Market,31000.0,30,4.9,Kaya Halal Market,Jakarta Selatan
41,Keripik Slondok Singkong Sari Roso,26000.0,250,4.8,Pisang Goreng Madu Bu Nanik,Jakarta Barat
42,cemilan keripik tahu,36500.0,250,4.9,oke snack,Jakarta Selatan
43,Kylafood Paket 4Seblak Cup  + 1basreng pedas + 1Seblak Autentik (Free),74160.0,2,5.0,kylafood,Bandung
44,Keripik Tempe Mels Kitchen,25000.0,1000,4.9,Pisang Goreng Madu Bu Nanik,Jakarta Barat
45,Batagor Kering Mini Bisa untuk Seblak Dan Campuran Baso Aci,7000.0,23,4.9,RZTSHOP86,Bandung
46,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg IKAN MERAH,21750.0,100,4.7,SuperSnacksShop,Kab. Bandung
47,"Basreng 100 gram Ori, Seblak, Pedas Manis, Super Pedas isi 100gr",7599.0,50,4.6,Grosir Besar Kalimantan,Banjarbaru
48,Sabring kerupuk seblak jablay pedas Jumbo,15000.0,23,0.0,RIKI STORE 97,Kab. Bogor
49,krupuk seblak pedas daun jeruk bantet 500geram,25000.0,100,4.6,seblak barokah 07,Kab. Bandung
50,Stick / stik otak-otak Bu Nanik,10000.0,750,4.7,Pisang Goreng Madu Bu Nanik,Jakarta Barat
51,Kerupuk Keriting Palembang,28000.0,1000,4.9,Pisang Goreng Madu Bu Nanik,Jakarta Barat
52,Snack Mie Goreng Medan / Kerupuk Mie Goreng Medan,14500.0,500,4.8,Pisang Goreng Madu Bu Nanik,Jakarta Barat
53,Keripik Singkong Keju Sari Roso,26000.0,250,4.8,Pisang Goreng Madu Bu Nanik,Jakarta Barat
54,Kerupuk Kampung / Kerupuk Kampoeng / Kerupuk Bawang,18000.0,750,4.9,Pisang Goreng Madu Bu Nanik,Jakarta Barat
55,Kerupuk Seblak / Seblak / Kering Pedas /,10000.0,80,5.0,Anggris store,Kab. Bogor
56,BATAGOR Seblak 100gr Baso Tahu Goreng Siap Makan,1500.0,100,5.0,yohangunawan94,Bandung
57,SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 250 GRAM,18899.0,18,5.0,Simshop_,Cimahi
58,Kerupuk Seblak,12000.0,30,4.9,KingStairs-Store (ANNAFI STORE),Palembang
59,SAMBAL BUMBU SEBLAK / SEBLAK INSTAN / SEBLAK PRAKTIS / PEDAS GURIH,3500.0,70,4.5,Uai Food,Surabaya
60,Baso Aci 69 Original,19995.0,100,5.0,Foodstocks,Jakarta Selatan
61,Baso Aci Instan Culametan khas Garut ( isi 6 ),4500.0,4000,4.9,CUANKI CULAMETAN,Kab. Garut
62,Baso Aci 69 Geprek Gurih,19995.0,90,4.9,Foodstocks,Jakarta Selatan
63,Baso Aci Culametan khas garut,1100.0,1000,4.7,CUANKI CULAMETAN,Kab. Garut
64,BASO ACI PAKET 5 BUNGKUS,26500.0,3,5.0,tsabit colection,Kab. Garut
65, Kylafood Paket 4 Seblak Original 1 Batagor,91000.0,1000,4.9,kylafood,Bandung
66,Kerupuk Seblak Pedas Original,6000.0,40,4.5,V3 OnSHop,Surabaya
67,seblak instan isi 250g / seblak bondol / seblak pedas / kuliner bondol,17999.0,100,5.0,KULINER KHAS SUKABUMI,Kab. Sukabumi
68,Kerupuk Seblak Mawar Kribo Pedas Daun Jeruk 1.8kg,70000.0,30,4.8,Cap 2K Snack,Kab. Bandung
69,KERUPUK STIK SEBLAK 200 GRAM,12500.0,50,5.0,GUPONG ABIMANYU,Depok
70,Gelichips Seblak Kering Gurih isi 260gram - Combo Seblak Kering 4pcs,43500.0,40,5.0,Lidigeli,Kab. Garut
71,kerupuk seblak 250g dan 500g - 250g,11000.0,0,0.0,suksesjayaikan,Jakarta Barat
72,Gelichips Seblak Kering Sebring Camilan Kerupuk Pedas Combo 4pcs 65 gr,43500.0,15,5.0,Lidigeli,Kab. Garut
73,kerupuk seblak pedas 1 kg,26500.0,100,5.0,Bintang Snack & Camilan,Semarang
74,Frozen Bakso Cuanki Bandung Baso Campur,21000.0,1000,4.9,DELI FROZZ,Jakarta Utara
75,KERUPUK SEBLAK PEDAS KRIUK 100 GRAM,7500.0,6,5.0,AUFARO SNACK,Kab. Bandung Barat
76,SEBLAK BETON RASA PEDAS CIKRUH BERAT 500 GRAM,30500.0,1,0.0,aurel prima snack,Jakarta Barat
77,Seblak Mommy,13900.0,2000,4.6,Gerai Snack Official Shop,Kab. Tangerang
78,Kerupuk Seblak Mentah 200gram,5400.0,24,5.0,Sayurku Co.,Malang
79,seblak instan purwakarta,4500.0,750,4.9,cemilan instan purwakarta,Kab. Purwakarta
80,Gurilem Pedas,19500.0,100,4.8,Bite and Munch,Bandung
81,Basreng Sangarrr,19900.0,750,4.7,The Little Snacks,Tangerang Selatan
82,Makaroni Ceu Wewei 1kg,65000.0,70,5.0,Makaroni Ceu Wewei,Kab. Tangerang
83,Basreng Sangarrr,18900.0,3000,4.8,The Little Snacks,Tangerang Selatan
84,Basreng Pinggsnack,16700.0,500,4.8,Gerai Snack Official Shop,Kab. Tangerang
85,Seblak Coet Instan / Seblak Cobek / Seblak Cocol / Seblak Original,8900.0,30,4.5,TiTasix Tutug Oncom (TO),Tasikmalaya
86,kerupuk mawar putih/ kerupuk seblak rafael,7300.0,25,4.0,juragan bawang merah,Depok
87,cuanki/cuankie lidah isi 100 pcs baso Aci/boci/seblak,26399.0,60,4.9,ArfaOnlineShop,Tangerang
88,Kerupuk Krupuk Keriting Mawar Putih Mentah Seblak Asli Original,5850.0,50,5.0,Kyta Bae,Kab. Sumedang
89,CIKEMAM - PAKET BUNDLING SEBLAK (3 PCS),37000.0,50,5.0,CIKEMAM,Cimahi
90,Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,29000.0,100,4.9,Lidigeli,Kab. Garut
91,KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,21630.0,70,5.0,Toko kue Sumber Mas,Jakarta Timur
92,Seblak Rafael/Seblak Coet Instan Halal,26600.0,500,4.9,Foodstocks,Jakarta Selatan
93,Seblak Sultan instant,14000.0,250,4.9,Sultan Meat Shop,Medan
94,Kerupuk Seblak Kencur Pedas / Krupuk Seblak Pedes - Molagi Snack - 250 Gram,15000.0,12,5.0,MOLAGI SNACK,Tangerang Selatan
95,seblak kerupuk kering level pedas,5000.0,26,4.1,Permen Jahe Pekalongan,Kab. Pemalang
96,kerupuk seblak kering mangar manggar jaat akar pedas 250 gram,11250.0,6,4.8,Qie snack,Kab. Jember
97,kerupuk seblak pedas daun jeruk kemasan 70 gram,4800.0,27,5.0,Gudang Snack Solo,Surakarta
98,NAAGIH! Seblak Cuanki Baso Aci Boci Instant Kuliner Bandung Pedas Pool,8000.0,100,5.0,Ebay Store,Kab. Tangerang
99,1KG Krupuk Seblak Kering Pedas/ Krupuk Seblak Bantet Pedas,21500.0,60,4.9,Vikasnack02,Kab. Karawang
